"tablename","indexname","indexdef"
"playlists","idx_playlist_followers","CREATE INDEX idx_playlist_followers ON public.playlists USING btree (num_followers)"
"playlists","idx_playlist_modified","CREATE INDEX idx_playlist_modified ON public.playlists USING btree (modified_at)"
"playlists","idx_playlist_name","CREATE INDEX idx_playlist_name ON public.playlists USING btree (name)"
"playlists","playlists_pkey","CREATE UNIQUE INDEX playlists_pkey ON public.playlists USING btree (playlist_id)"
"playlisttracks","idx_playlisttracks_playlist","CREATE INDEX idx_playlisttracks_playlist ON public.playlisttracks USING btree (playlist_id)"
"playlisttracks","idx_playlisttracks_track","CREATE INDEX idx_playlisttracks_track ON public.playlisttracks USING btree (track_uri)"
"playlisttracks","playlisttracks_pkey","CREATE UNIQUE INDEX playlisttracks_pkey ON public.playlisttracks USING btree (playlist_id, track_uri)"
"tracks","idx_album_name","CREATE INDEX idx_album_name ON public.tracks USING btree (album_name)"
"tracks","idx_track_artist","CREATE INDEX idx_track_artist ON public.tracks USING btree (artist_name)"
"tracks","idx_track_artist_name","CREATE INDEX idx_track_artist_name ON public.tracks USING btree (artist_name, track_name)"
"tracks","idx_track_name","CREATE INDEX idx_track_name ON public.tracks USING btree (track_name)"
"tracks","idx_track_uri","CREATE INDEX idx_track_uri ON public.tracks USING btree (track_uri)"
"tracks","tracks_pkey","CREATE UNIQUE INDEX tracks_pkey ON public.tracks USING btree (track_id)"
"tracks","tracks_track_uri_key","CREATE UNIQUE INDEX tracks_track_uri_key ON public.tracks USING btree (track_uri)"
